AL3;Especie;Censo;CFR;NombreBuque;Matricula;Division;PaisCaptura;FcCaptura;HoraMinutos;Marea;FcSalida;FcRegreso;PuertoSalida;PuertoRegreso;Presentacion;Latitud;Longitud;IdArteUeAL3;Arte;ObservacionDesembarqueOrigen;ObservacionesProduccion;PesoDesembarcadoTotal;PesoDesembarcadoVivoTotal;PesoConsumoTotal;NumPiezasTotales
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-03-04;4:20;ESP-TRP-00075520200215065554;2020-02-15;2020-03-09;Port Victoria;Port Victoria;Entero;-4,35;44,5333;PS;Cerco con jareta;NULL;NULL;124.30;124.30;124.30;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-04-16;3:10;ESP-TRP-00075520200318045459;2020-03-18;2020-04-20;Port Victoria;Port Victoria;Entero;-2,2333;45,7167;PS;Cerco con jareta;NULL;NULL;66.00;66.00;66.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-06-06;7:0;ESP-TRP-00075520200605164958;2020-06-05;2020-07-16;Port Victoria;Port Victoria;Entero;-5,5833;59,85;PS;Cerco con jareta;NULL;NULL;47.50;47.50;47.50;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-06-20;5:55;ESP-TRP-00075520200605164958;2020-06-05;2020-07-16;Port Victoria;Port Victoria;Entero;-5,7833;61,8667;PS;Cerco con jareta;NULL;NULL;47.50;47.50;47.50;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-08-01;2:37;ESP-TRP-00075520200722140447;2020-07-22;2020-09-07;Port Victoria;Port Victoria;Entero;3,5833;64,4167;PS;Cerco con jareta;NULL;NULL;93.60;93.60;93.60;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-08-12;5:55;ESP-TRP-00075520200722140447;2020-07-22;2020-09-07;Port Victoria;Port Victoria;Entero;3,2167;63,5;PS;Cerco con jareta;NULL;NULL;46.80;46.80;46.80;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2020-08-25;8:42;ESP-TRP-00075520200722140447;2020-07-22;2020-09-07;Port Victoria;Port Victoria;Entero;5,6667;53,7833;PS;Cerco con jareta;NULL;NULL;93.60;93.60;93.60;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2021-03-03;10:0;ESP-TRP-00075520210209092721;2021-02-09;2021-03-07;Port Victoria;Port Victoria;Entero;6,9833;61,3833;PS;Cerco con jareta;NULL;NULL;81.00;81.00;81.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2021-05-04;10:10;ESP-TRP-00075520210417140639;2021-04-17;2021-05-06;Port Victoria;Port Victoria;Entero;0,6;51,3;PS;Cerco con jareta;NULL;;27.00;27.00;27.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2021-11-26;2:5;ESP-TRP-00075520211116175444;2021-11-16;2021-12-01;Diego Suarez;Port Victoria;Entero;5,7833;57,2333;PS;Cerco con jareta;He tenido que introducir manualmente 4 declaraciones, ya que después de varias llamadas al centro de atención telefónica y probar todas las opciones,;NULL;118.00;118.00;118.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2021-12-24;1:30;ESP-TRP-00075520211207121022;2021-12-07;2022-01-06;Port Victoria;Port Victoria;Entero;5,8667;58,7;PS;Cerco con jareta;NULL;NULL;63.00;63.00;63.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2022-01-23;6:15;ESP-TRP-00075520220118134015;2022-01-18;2022-02-21;Port Victoria;Port Victoria;Entero;8,3;61,8167;PS;Cerco con jareta;Con motivo del parche efectuado para la nueva actualización del DEA, y por indicaciones telefónicas con ustedes, he tenido que realizar el desembarqu;;31.00;31.00;31.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2022-07-21;2:30;ESP-TRP-00075520220711042954;2022-07-11;2022-08-09;Port Victoria;Port Victoria;Entero;2,4;57,8333;PS;Cerco con jareta;NULL;NULL;12.00;12.00;12.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2022-09-08;4:14;ESP-TRP-00075520220818134919;2022-08-18;2022-09-19;Port Victoria;Port Victoria;Entero;1,85;52,6833;PS;Cerco con jareta;NULL;NULL;10.00;10.00;10.00;0
FAL;Tiburón jaquetón;ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;ESP000000755;ALBACORA CUATRO;3VI-5-9478;51.5;AGUAS INTERNACIONALES;2022-10-17;7:50;ESP-TRP-00075520220925120619;2022-09-25;2022-10-25;Port Victoria;Port Victoria;Entero;5,3;57,75;PS;Cerco con jareta;NULL;NULL;18.00;18.00;18.00;0
